,images,labels
5546,"Dataset/test/nowildfire/-75.795722,45.353503.jpg",1
5755,"Dataset/test/nowildfire/-79.374341,43.75248.jpg",1
1406,"Dataset/test/wildfire/-72.83385,46.83004.jpg",0
2113,"Dataset/test/wildfire/-74.91407,46.19994.jpg",0
3941,"Dataset/test/nowildfire/-114.11937,51.161353.jpg",1
286,"Dataset/test/wildfire/-68.996,47.56835.jpg",0
5568,"Dataset/test/nowildfire/-75.805623,45.393237.jpg",1
3903,"Dataset/test/nowildfire/-114.106437,51.148312.jpg",1
4107,"Dataset/test/nowildfire/-122.776921,49.22628.jpg",1
5770,"Dataset/test/nowildfire/-79.382372,43.688549.jpg",1
830,"Dataset/test/wildfire/-71.47238,46.86121.jpg",0
4533,"Dataset/test/nowildfire/-123.141255,49.210506.jpg",1
2630,"Dataset/test/wildfire/-76.54832,50.04946.jpg",0
3626,"Dataset/test/nowildfire/-113.987542,51.076163.jpg",1
2745,"Dataset/test/wildfire/-76.98579,45.86481.jpg",0
4754,"Dataset/test/nowildfire/-73.556787,45.493324.jpg",1
3810,"Dataset/test/nowildfire/-114.061418,51.02464.jpg",1
310,"Dataset/test/wildfire/-69.16121,48.73501.jpg",0
5293,"Dataset/test/nowildfire/-75.668771,45.350232.jpg",1
4965,"Dataset/test/nowildfire/-73.728825,45.570527.jpg",1
2466,"Dataset/test/wildfire/-75.96489,53.90528.jpg",0
854,"Dataset/test/wildfire/-71.54871,45.46253.jpg",0
3094,"Dataset/test/wildfire/-78.35574,51.69095.jpg",0
5774,"Dataset/test/nowildfire/-79.386351,43.747777.jpg",1
1212,"Dataset/test/wildfire/-72.40635,45.79766.jpg",0
1065,"Dataset/test/wildfire/-72.07297,46.04766.jpg",0
1150,"Dataset/test/wildfire/-72.28743,46.70893.jpg",0
2069,"Dataset/test/wildfire/-74.80622,45.85492.jpg",0
4612,"Dataset/test/nowildfire/-73.419579,45.561.jpg",1
5120,"Dataset/test/nowildfire/-73.869818,45.620859.jpg",1
1383,"Dataset/test/wildfire/-72.77752,47.41427.jpg",0
4261,"Dataset/test/nowildfire/-122.885952,49.142379.jpg",1
792,"Dataset/test/wildfire/-71.35474,46.96073.jpg",0
931,"Dataset/test/wildfire/-71.7472,48.1706.jpg",0
2633,"Dataset/test/wildfire/-76.55296,47.08004.jpg",0
6087,"Dataset/test/nowildfire/-79.692738,43.783281.jpg",1
2706,"Dataset/test/wildfire/-76.78256,49.05396.jpg",0
656,"Dataset/test/wildfire/-71.0024,49.9876.jpg",0
3665,"Dataset/test/nowildfire/-114.004463,51.069232.jpg",1
684,"Dataset/test/wildfire/-71.09756,46.39179.jpg",0
3876,"Dataset/test/nowildfire/-114.090993,51.1334.jpg",1
997,"Dataset/test/wildfire/-71.91121,48.80126.jpg",0
5801,"Dataset/test/nowildfire/-79.403484,43.676085.jpg",1
1078,"Dataset/test/wildfire/-72.12148,45.85132.jpg",0
5238,"Dataset/test/nowildfire/-75.634139,45.415322.jpg",1
2072,"Dataset/test/wildfire/-74.81982,53.21433.jpg",0
4400,"Dataset/test/nowildfire/-123.022702,49.219029.jpg",1
260,"Dataset/test/wildfire/-68.71139,49.29047.jpg",0
305,"Dataset/test/wildfire/-69.1014,48.7333.jpg",0
1164,"Dataset/test/wildfire/-72.31628,46.71073.jpg",0
5685,"Dataset/test/nowildfire/-79.308123,43.752297.jpg",1
93,"Dataset/test/wildfire/-65.92174,48.20084.jpg",0
1479,"Dataset/test/wildfire/-73.05529,47.66936.jpg",0
824,"Dataset/test/wildfire/-71.45254,45.48052.jpg",0
991,"Dataset/test/wildfire/-71.88172,49.95444.jpg",0
3996,"Dataset/test/nowildfire/-114.145914,51.017618.jpg",1
2766,"Dataset/test/wildfire/-77.0805,50.51259.jpg",0
5667,"Dataset/test/nowildfire/-79.296438,43.785744.jpg",1
417,"Dataset/test/wildfire/-69.9061,47.9072.jpg",0
4753,"Dataset/test/nowildfire/-73.552581,45.486665.jpg",1
2961,"Dataset/test/wildfire/-77.8436,47.3319.jpg",0
2141,"Dataset/test/wildfire/-75.0336,45.6594.jpg",0
668,"Dataset/test/wildfire/-71.04157,49.75899.jpg",0
4525,"Dataset/test/nowildfire/-123.133295,49.170173.jpg",1
3654,"Dataset/test/nowildfire/-113.999399,51.078636.jpg",1
5579,"Dataset/test/nowildfire/-75.807845,45.340963.jpg",1
3725,"Dataset/test/nowildfire/-114.029333,51.162087.jpg",1
1051,"Dataset/test/wildfire/-72.05245,50.15888.jpg",0
6066,"Dataset/test/nowildfire/-79.674331,43.670424.jpg",1
1436,"Dataset/test/wildfire/-72.921,46.91847.jpg",0
4290,"Dataset/test/nowildfire/-122.91005,49.214446.jpg",1
1292,"Dataset/test/wildfire/-72.60489,49.07644.jpg",0
3701,"Dataset/test/nowildfire/-114.020133,50.933434.jpg",1
6138,"Dataset/test/nowildfire/-79.745501,43.642885.jpg",1
750,"Dataset/test/wildfire/-71.24737,46.92296.jpg",0
2748,"Dataset/test/wildfire/-77.0055,46.11211.jpg",0
5550,"Dataset/test/nowildfire/-75.79868,45.410226.jpg",1
3500,"Dataset/test/nowildfire/-113.941141,51.088767.jpg",1
929,"Dataset/test/wildfire/-71.73463,45.39359.jpg",0
3707,"Dataset/test/nowildfire/-114.02221,50.946085.jpg",1
4983,"Dataset/test/nowildfire/-73.74481,45.457681.jpg",1
408,"Dataset/test/wildfire/-69.8385,49.19.jpg",0
1420,"Dataset/test/wildfire/-72.8746,48.1856.jpg",0
4962,"Dataset/test/nowildfire/-73.726198,45.596606.jpg",1
