,images,labels
792,"Dataset/train/wildfire/-66.88727,50.03148.jpg",0
2874,"Dataset/train/wildfire/-70.8342,45.3875.jpg",0
10645,"Dataset/train/wildfire/-75.67095,46.05576.jpg",0
21452,"Dataset/train/nowildfire/-123.149462,49.204368.jpg",1
17132,"Dataset/train/nowildfire/-114.061491,51.069523.jpg",1
27505,"Dataset/train/nowildfire/-79.342883,43.78262.jpg",1
21206,"Dataset/train/nowildfire/-123.116703,49.215196.jpg",1
16108,"Dataset/train/nowildfire/-113.966025,50.931301.jpg",1
28199,"Dataset/train/nowildfire/-79.45515,43.904456.jpg",1
11618,"Dataset/train/wildfire/-76.208,46.4298.jpg",0
14462,"Dataset/train/wildfire/-78.86455,49.02518.jpg",0
18029,"Dataset/train/nowildfire/-114.139346,50.956586.jpg",1
11639,"Dataset/train/wildfire/-76.22643,46.61751.jpg",0
15650,"Dataset/train/nowildfire/-113.925665,51.098692.jpg",1
6211,"Dataset/train/wildfire/-72.74335,47.42926.jpg",0
8823,"Dataset/train/wildfire/-74.31539,49.34323.jpg",0
23308,"Dataset/train/nowildfire/-73.68538,45.501523.jpg",1
5499,"Dataset/train/wildfire/-72.40447,48.43915.jpg",0
5371,"Dataset/train/wildfire/-72.3497,45.70534.jpg",0
18348,"Dataset/train/nowildfire/-114.171944,51.122378.jpg",1
19939,"Dataset/train/nowildfire/-122.936045,49.211416.jpg",1
23991,"Dataset/train/nowildfire/-73.797316,45.40107.jpg",1
11844,"Dataset/train/wildfire/-76.4334,46.47242.jpg",0
9148,"Dataset/train/wildfire/-74.52891,46.05396.jpg",0
9450,"Dataset/train/wildfire/-74.73438,46.28507.jpg",0
28059,"Dataset/train/nowildfire/-79.431747,43.733282.jpg",1
838,"Dataset/train/wildfire/-67.13434,48.10761.jpg",0
13486,"Dataset/train/wildfire/-77.98919,48.27878.jpg",0
3895,"Dataset/train/wildfire/-71.46734,48.63639.jpg",0
17527,"Dataset/train/nowildfire/-114.095824,50.937286.jpg",1
9630,"Dataset/train/wildfire/-74.8483,46.9736.jpg",0
26441,"Dataset/train/nowildfire/-75.766931,45.329768.jpg",1
16130,"Dataset/train/nowildfire/-113.968565,50.997738.jpg",1
16615,"Dataset/train/nowildfire/-114.015031,50.991251.jpg",1
10537,"Dataset/train/wildfire/-75.6075,45.6572.jpg",0
19574,"Dataset/train/nowildfire/-122.887365,49.247162.jpg",1
