,images,labels
2841,"Dataset/valid/wildfire/-77.60691,46.18825.jpg",0
4678,"Dataset/valid/nowildfire/-73.481149,45.563113.jpg",1
5661,"Dataset/valid/nowildfire/-79.310184,43.915322.jpg",1
3901,"Dataset/valid/nowildfire/-114.134853,51.071498.jpg",1
2065,"Dataset/valid/wildfire/-74.6442,45.9981.jpg",0
4247,"Dataset/valid/nowildfire/-122.899874,49.180497.jpg",1
1508,"Dataset/valid/wildfire/-73.1686,45.88729.jpg",0
1639,"Dataset/valid/wildfire/-73.5917,45.9383.jpg",0
2767,"Dataset/valid/wildfire/-77.32143,52.80036.jpg",0
1218,"Dataset/valid/wildfire/-72.47302,48.18285.jpg",0
4104,"Dataset/valid/nowildfire/-122.793477,49.202699.jpg",1
4434,"Dataset/valid/nowildfire/-123.059553,49.201245.jpg",1
1427,"Dataset/valid/wildfire/-72.90744,46.98412.jpg",0
631,"Dataset/valid/wildfire/-70.98644,48.46613.jpg",0
1801,"Dataset/valid/wildfire/-73.95669,45.08963.jpg",0
5058,"Dataset/valid/nowildfire/-73.808311,45.526687.jpg",1
2207,"Dataset/valid/wildfire/-75.1856,53.2608.jpg",0
4346,"Dataset/valid/nowildfire/-122.982015,49.146109.jpg",1
1761,"Dataset/valid/wildfire/-73.86822,46.61571.jpg",0
1285,"Dataset/valid/wildfire/-72.61804,45.35222.jpg",0
3186,"Dataset/valid/wildfire/-79.01183,47.22242.jpg",0
1498,"Dataset/valid/wildfire/-73.13194,45.63729.jpg",0
1749,"Dataset/valid/wildfire/-73.83915,45.8837.jpg",0
911,"Dataset/valid/wildfire/-71.75201,50.92296.jpg",0
1224,"Dataset/valid/wildfire/-72.482,45.384.jpg",0
3750,"Dataset/valid/nowildfire/-114.070161,51.1292.jpg",1
5041,"Dataset/valid/nowildfire/-73.794502,45.454053.jpg",1
2535,"Dataset/valid/wildfire/-76.24374,54.94904.jpg",0
2058,"Dataset/valid/wildfire/-74.63045,47.90078.jpg",0
1880,"Dataset/valid/wildfire/-74.1385,45.36751.jpg",0
5180,"Dataset/valid/nowildfire/-75.569106,45.450437.jpg",1
1582,"Dataset/valid/wildfire/-73.41405,46.48322.jpg",0
1409,"Dataset/valid/wildfire/-72.86543,48.16427.jpg",0
5035,"Dataset/valid/nowildfire/-73.791192,45.525237.jpg",1
3834,"Dataset/valid/nowildfire/-114.104612,51.0593.jpg",1
1257,"Dataset/valid/wildfire/-72.55316,49.02518.jpg",0
3331,"Dataset/valid/wildfire/-79.31408,49.15978.jpg",0
714,"Dataset/valid/wildfire/-71.20932,48.45804.jpg",0
2965,"Dataset/valid/wildfire/-78.13948,48.58783.jpg",0
5962,"Dataset/valid/nowildfire/-79.570937,43.638165.jpg",1
1414,"Dataset/valid/wildfire/-72.88087,47.28148.jpg",0
2174,"Dataset/valid/wildfire/-75.0558,47.2769.jpg",0
4270,"Dataset/valid/nowildfire/-122.918091,49.227321.jpg",1
2992,"Dataset/valid/wildfire/-78.29302,52.95983.jpg",0
1081,"Dataset/valid/wildfire/-72.20881,45.67476.jpg",0
5232,"Dataset/valid/nowildfire/-75.616157,45.450718.jpg",1
327,"Dataset/valid/wildfire/-69.17969,49.28058.jpg",0
4108,"Dataset/valid/nowildfire/-122.798647,49.134474.jpg",1
3467,"Dataset/valid/nowildfire/-113.950467,51.053095.jpg",1
5341,"Dataset/valid/nowildfire/-75.678106,45.416973.jpg",1
3846,"Dataset/valid/nowildfire/-114.109138,51.039587.jpg",1
2385,"Dataset/valid/wildfire/-75.85755,50.28777.jpg",0
1955,"Dataset/valid/wildfire/-74.35206,45.89539.jpg",0
4835,"Dataset/valid/nowildfire/-73.621153,45.522399.jpg",1
2910,"Dataset/valid/wildfire/-77.9386,47.2991.jpg",0
2813,"Dataset/valid/wildfire/-77.50653,49.90528.jpg",0
5595,"Dataset/valid/nowildfire/-79.24574,43.752772.jpg",1
1853,"Dataset/valid/wildfire/-74.0747,45.8754.jpg",0
4153,"Dataset/valid/nowildfire/-122.839093,49.217364.jpg",1
5672,"Dataset/valid/nowildfire/-79.319759,43.631492.jpg",1
3485,"Dataset/valid/nowildfire/-113.956623,50.939871.jpg",1
5145,"Dataset/valid/nowildfire/-73.891724,45.617589.jpg",1
4725,"Dataset/valid/nowildfire/-73.524557,45.417938.jpg",1
4260,"Dataset/valid/nowildfire/-122.911375,49.24915.jpg",1
2502,"Dataset/valid/wildfire/-76.12664,45.84862.jpg",0
5869,"Dataset/valid/nowildfire/-79.492556,43.824081.jpg",1
4182,"Dataset/valid/nowildfire/-122.857239,49.210674.jpg",1
5106,"Dataset/valid/nowildfire/-73.850563,45.48182.jpg",1
588,"Dataset/valid/wildfire/-70.81878,47.15978.jpg",0
2482,"Dataset/valid/wildfire/-76.0782,45.7863.jpg",0
1618,"Dataset/valid/wildfire/-73.52905,45.91067.jpg",0
3367,"Dataset/valid/wildfire/-79.41256,48.95444.jpg",0
4091,"Dataset/valid/nowildfire/-122.784372,49.260408.jpg",1
4429,"Dataset/valid/nowildfire/-123.056428,49.224979.jpg",1
5771,"Dataset/valid/nowildfire/-79.410069,43.70925.jpg",1
1067,"Dataset/valid/wildfire/-72.16406,46.42746.jpg",0
4918,"Dataset/valid/nowildfire/-73.684659,45.430586.jpg",1
789,"Dataset/valid/wildfire/-71.37578,48.71613.jpg",0
628,"Dataset/valid/wildfire/-70.98283,47.08004.jpg",0
4607,"Dataset/valid/nowildfire/-73.411345,45.50463.jpg",1
3615,"Dataset/valid/nowildfire/-114.007893,51.151106.jpg",1
535,"Dataset/valid/wildfire/-70.5755,46.44095.jpg",0
2791,"Dataset/valid/wildfire/-77.4253,46.5152.jpg",0
5885,"Dataset/valid/nowildfire/-79.513919,43.730826.jpg",1
5716,"Dataset/valid/nowildfire/-79.363161,43.838372.jpg",1
129,"Dataset/valid/wildfire/-66.35765,50.21073.jpg",0
2937,"Dataset/valid/wildfire/-78.03336,48.2545.jpg",0
369,"Dataset/valid/wildfire/-69.43604,47.54946.jpg",0
3965,"Dataset/valid/nowildfire/-114.160109,51.019546.jpg",1
4251,"Dataset/valid/nowildfire/-122.903909,49.121288.jpg",1
5188,"Dataset/valid/nowildfire/-75.574309,45.431239.jpg",1
812,"Dataset/valid/wildfire/-71.4417,46.0442.jpg",0
6069,"Dataset/valid/nowildfire/-79.667842,43.770799.jpg",1
52,"Dataset/valid/wildfire/-64.7254,48.84592.jpg",0
5623,"Dataset/valid/nowildfire/-79.268676,43.907756.jpg",1
1326,"Dataset/valid/wildfire/-72.7022,48.7644.jpg",0
5309,"Dataset/valid/nowildfire/-75.660251,45.393888.jpg",1
